business_name,email,phone,website,city,state,category,lead_type,enrichment_needed,contact_name,notes
"The Best Restaurants in Jensen Beach, Florida - Trip Canvas - AAA",takotikijensenbeach@gmail.com,(772) 208-5554,https://www.aaa.com/tripcanvas/jensen-beach-fl/category/restaurants,Jensen Beach,FL,restaurant,,owner_name,,
Watson Association Management - HOA & Property Management,paminfo@watsonrealtycorp.com,772-871-0004,https://www.watsonassociationmanagement.com/,Port St Lucie,FL,hoa,,owner_name,,
MonkMobileDetailing: HOME,monkmobiledetailing@gmail.com,(772) 202-8871,https://www.monkmobiledetailing.com/,Stuart,FL,detailing,,owner_name,,
Tony's Showroom Finish Detailing: Top Car Detailing Services in ...,Stuart@auto-genie.co.uk,(772) 882-5877,https://tonysshowroomfinishdetailing1.sitesgpt.com/,Stuart,FL,detailing,,owner_name,,
palm realty and property management services,office.prpm@gmail.com,941-661-2019,https://www.rentalsbypalm.com/,Palm City,FL,property_mgmt,,owner_name,,
"Metal Roofing Contractor | Stuart, FL - Leo Roofing & Construction",resume@leorc.com,(561) 861-3991,https://www.leoroofingfl.com/blog/2025/september/metal-roofing-contractor-stuart-fl/,Stuart,FL,roofing,,owner_name,,
Treasure Coast Realtors | Homes & Real Estate in Florida,themazurssell@aol.com,(772) 286-1900,https://www.buytreasurecoastproperty.com/,Stuart,FL,real_estate,,owner_name,,
Property Management - Beach Front Mann Realty,sean@beachfrontrealty.net,800-247-4862,https://beachfrontmannrealty.com/property-management/,Jensen Beach,FL,property_mgmt,,owner_name,,
TC Rentals & Property Management: Home,rentals@tcpropt.com,(772) 225-6742,https://treasurecoast.net/,Jensen Beach,FL,property_mgmt,,owner_name,,
"Bathroom Remodeling | Stuart, FL",isaac@tileanddecorusa.com,(772)-946-1986,https://www.superiortileinteriors.com/complete-bathroom-remodeling,Stuart,FL,bathroom,,owner_name,,
"Bathroom Remodeling Services | Stuart & Port St. Lucie, FL",isaac@tileanddecorusa.com,(772) 453-0909,https://bobbyandbrothershandyman.com/bathroom-remodeling,Stuart,FL,bathroom,,owner_name,,
Property Management Treasure Coast - Home,TreasureCoast@itrip.net,(772) 486-1035,https://pmtcrentals.com/,Jensen Beach,FL,property_mgmt,,owner_name,,
"Property Management Companies Near Me in Palm City, Florida",office.prpm@gmail.com,941-661-2019,https://global.showmelocal.com/local_search.aspx?q=property+management+companies&s=fl&c=palm+city,Palm City,FL,property_mgmt,,owner_name,,
Waterfront Stuart,waterfront@sandcrg.com,(772) 288-1881,https://thewaterfrontstuart.com/,Stuart,FL,restaurant,,owner_name,,
"Epoxy Flooring Palm City, FL | Durable Concrete Solutions",abdeali@chemsandcoatings.com,6479782153,https://vonpaving.com/epoxy-flooring-palm-city-fl/,Palm City,FL,epoxy,,owner_name,,
Gutter Contractor | The Brothers that just do Gutters,will@viralbitespos.com,1670199459,https://treasure-coast.brothersgutters.com/,Stuart,FL,gutter,,owner_name,,
"Property Managers in Port Saint Lucie, FL",Choicepropertiesrentals@gmail.com,772-871-2727,https://www.zillow.com/professionals/property-manager-reviews/port-saint-lucie-fl/,Port St Lucie,FL,property_manager,,owner_name,,
"Property Management Companies in Port Saint Lucie, FL",Choicepropertiesrentals@gmail.com,772-871-2727,https://www.apartments.com/pmc/port-saint-lucie-fl/,Port St Lucie,FL,property_manager,,owner_name,,
"Palm City Handyman, The Repair Guy",therepairguyjake@gmail.com,(772) 279-4277,https://therepairguyservices.com/,Palm City,FL,property_manager,,owner_name,,
"Bathroom Remodelers​ Stuart, FL | Adamo Painting",davidadamo779@gmail.com,(862) 344-4286,https://www.adamopainting.com/services/bathroom-remodelers/,Stuart,FL,bathroom,,owner_name,,
Coastal Management Professionals: Trusted Property Management ...,zachary@coastalrepros.com,561-310-9672,https://coastalmgmtpros.com/,Palm City,FL,property_mgmt,,owner_name,,
Human Resources – St Lucie Public Schools,EMP-GRV@stlucieschools.org,(772) 429-7508,https://www.stlucie.k12.fl.us/departments/human-resources/,Port St. Lucie,FL,school district facility,client,owner_name,,
Contact,Summerfield@advpropmgt.com,(772) 286-0081,https://www.summerfieldstuart.com/contact/,Stuart,FL,apartment complex manager,client,owner_name,,
Contractor Licensing,Contractorlicensing@cityofpsl.com,772-871-5132,https://www.cityofpsl.com/Government/Your-City-Government/Departments/Building/Contractor-Licensing,Port St. Lucie,FL,general contractor,contractor,owner_name,,
Contractor Licensing Division,Contractorlicensing@cityofpsl.com,772-871-5132,https://www.cityofpsl.com/Government/Your-City-Government/Departments/Building/Contractor-Licensing-Division,Port St. Lucie,FL,general contractor,contractor,owner_name,,
"New Audi and Used Cars near Jupiter, FL",Devin.Carlson@BrikellMotors.com,(877) 558-9737,https://www.audistuart.com/,Stuart,FL,auto dealership,client,owner_name,,
Home,jenn02hernandez@gmail.com,(772) 206-2771,https://hadymanatoz.com/,Stuart,FL,handyman service,contractor,owner_name,,
Contact Us Port St Lucie Hospital,admissions@portstluciehospitalinc.com,,https://www.portstluciehospitalinc.com/contact-us/,Port St. Lucie,FL,hospital medical facility,client,owner_name,,
Resources,charter@windsorjet.com,877-938-9508,https://beyondandabove.net/resources/,Stuart,FL,aircraft hangar,client,owner_name,,
Luxury Private Jet Maintenance,Brian.Whittredge@flyalliance.com,315-717-3580,https://flyalliance.com/maintenance/,Stuart,FL,aircraft hangar,client,owner_name,,
Roofing Port St Lucie,PDKRoofing.inc@gmail.com,772.528.0113,https://pdkroofinginc.com/,Port St. Lucie,FL,roofing contractor,contractor,owner_name,,
"Tropical Roofing Systems,. – Top quality roofing contractor on South Florida's Treasure Coast",trsiwb@att.net,(772) 287-1433,https://www.roofingcontractortc.com/,Port St. Lucie,FL,roofing contractor,contractor,owner_name,,
RCMA Childrens House Child Development Center,childrenshouse@rcma.org,(772) 388-0651,https://rcma.org/center/rcma-childrens-house-cdc/,Vero Beach,FL,daycare center,client,owner_name,,
First Presbyterian Preschool,lorie@firstpresvero.org,772-257-7238,https://firstpresbyterianpreschool.org/,Vero Beach,FL,daycare center,client,owner_name,,
"Rain Gutter Guards & Downspout Extensions Port St Lucie, PSL, Stuart FL",gutterguy@gutterguyfl.com,772-334-3139,https://gutterguyofflorida.com/contact-us/,Stuart,FL,gutter installation,contractor,owner_name,,
Luminous Nails & Spa,linhtrang75@yahoo.com,772-340-4060,https://luminousnailsandspastluciewest.com/,Port St. Lucie,FL,salon spa,client,owner_name,,
"Osceola Street Cafe in Stuart, Florida",osceolastcafe@gmail.com,(772) 283-6116,https://www.osceolastreet.com/,Stuart,FL,coffee shop cafe,client,owner_name,,
"Gilbert Plumbing in Port St. Lucie, Florida",gilbertplumbco@gmail.com,772-924-8362,https://gilbertplumb.com/,Port St. Lucie,FL,plumber,contractor,owner_name,,
"Property & Rental Management in Vero Beach, FL",TFox@sorensenrealestate.com,(772) 538-3733,https://verobeach.com/vero-beach-directories/property-and-rental-management,Vero Beach,FL,commercial property manager,client,owner_name,,
Superintendents,Buddy.Brown@hdsb.org,850-547-9341,https://www.fldoe.org/accountability/data-sys/school-dis-data/superintendents.stml,Vero Beach,FL,school district facility,client,owner_name,,
Gertrude Walden Child Care Center,t.m.wash@comcast.net,(772) 283.6321,https://www.gertrudewalden.org/p/4/contact-us,Stuart,FL,daycare center,client,owner_name,,
Central Stuart – Apple Tree Academy,appletreeacademy5@gmail.com,(772) 221-1775,https://www.apple-tree-academy.com/central-stuart/,Stuart,FL,daycare center,client,owner_name,,
South Stuart – Apple Tree Academy,appletreeacademy4@gmail.com,(772) 334-3281,https://www.apple-tree-academy.com/south-stuart/,Stuart,FL,daycare center,client,owner_name,,
Contact Us,cleanairtechinfo@gmail.com,772-335-2061,https://www.cleanairfl.com/contact-us,Port St. Lucie,FL,HVAC contractor,contractor,owner_name,,
"Vinyl Plank, Laminate & Hardwood Flooring",Shop@BuyRiteFlooring.com,772-559-7133,https://buyriteflooring.com/,Vero Beach,FL,hardwood flooring installer,contractor,owner_name,,
Company Profile Information Sheet Name Connery Concrete,jconnery@bellsouth.net,772-231-1224,https://bomanite.com/wp-content/uploads/2015/06/ConneryConcreteProfileSheet.pdf,Vero Beach,FL,concrete contractor,contractor,owner_name,,
Contact Our Storage Center,store@veroselfstorage.com,772-213-9974,https://www.veroselfstorage.com/contact-us/,Vero Beach,FL,cold storage facility,client,owner_name,,
"Contact Our Storage Center in Vero Beach, FL",manager@veromanagment.com,772-770-4522,https://www.courtsideselfstorage.com/contact/,Vero Beach,FL,cold storage facility,client,owner_name,,
Rio Coco Beans,riococobeans@gmail.com,(772) 492-6794,https://riococobeans.com/,Vero Beach,FL,coffee shop cafe,client,owner_name,,
Concrete Contractor,rachael@westbuildingcontractors.com,772-284-6994,https://www.westbuildingcontractors.com/contact,Stuart,FL,concrete contractor,contractor,owner_name,,
Home,cklein@tccommercialre.com,(772) 708-3236,https://tccommercialre.com/,Stuart,FL,commercial real estate,client,owner_name,,
Contact,AdvantagePM@advpropmgt.com,,https://www.summerfieldstuart.com/contact/,Stuart,FL,commercial property manager,client,owner_name,,
RT Commercial Real Estate,David.rtcommercial@gmail.com,772.262.8341,https://rt-cre.com/about-us-%2F-meet-our-team,Stuart,FL,commercial property manager,client,owner_name,,
Treasure Coast Commercial Real Estate for Sales and Leasing.,jaime@slccommercial.com,,https://www.slccommercial.com/,Stuart,FL,commercial property manager,client,owner_name,,
Contact The Vero Beach Inn & Suites,infovbis@paxproperties.com,(772) 567-8321,https://veroinn.com/contact-vero-beach-inn-and-suites/,Vero Beach,FL,hotel resort manager,client,owner_name,,
Coastal Property Management,susan.palmieri@cpmfl.com,772-600-8900,https://www.slghomeowners.com/coastal-property-management,Port St. Lucie,FL,commercial property manager,client,owner_name,,
Call Expert Electrician,anthonydiodato@gmail.com,772-528-5056,https://www.altelectricinc.com/contact-professional-electrical-crew,Port St. Lucie,FL,electrician,contractor,owner_name,,
Contact — Energy Spa and Salon,energyspasalon@gmail.com,(772) 562-3845,https://energyspaverobeach.com/contact,Vero Beach,FL,salon spa,client,owner_name,,
Calvetti and Co,letstalk@calvettiandco.com,(772) 770-9903,https://calvettiandco.com/contact,Vero Beach,FL,salon spa,client,owner_name,,
Contact,irrestaurantsupply@yahoo.com,(772) 567-1000,https://irrestaurantsupply.com/contact/,Vero Beach,FL,restaurant franchise,client,owner_name,,
Vero Beach Mulligans Beach House,mary@mulligansbeachsports.com,772.600.7377,https://www.mulligansbeachhouse.com/vero-beach/,Vero Beach,FL,restaurant franchise,client,owner_name,,
"Veterinarian in Vero Beach, FL",drphil@villagepetclinic.com,,https://www.villagepetclinic.com/,Vero Beach,FL,veterinary clinic,client,owner_name,,
Custom Paint,Custompaintservice1@gmail.com,(772) 226-7077,https://www.custompaintingservicellc.com/,Vero Beach,FL,painting contractor,contractor,owner_name,,
School District of Martin County,millayj@martinschools.org,(772) 219-1200,https://211pbtc.myresourcedirectory.com/index.php/component/cpx/?task=resource.view&id=3864313,Stuart,FL,school district facility,client,owner_name,,
District Student Services Directors,rusty.corley@marion.k12.fl.us,352-671-2192,https://www.fldoe.org/schools/k-12-public-schools/sss/dist-stu-serv-dir.stml,Stuart,FL,school district facility,client,owner_name,,
School District Virtual Contact Information,commissioner@fldoe.org,863-462-5000,https://www.fldoe.org/schools/school-choice/virtual-edu/directories/district-virtual-contacts.stml,Stuart,FL,school district facility,client,owner_name,,
CUSTOM FABRICATION CONTRACT MANUFACTURING Your One Stop Source Visit,programs@itstowers.com,772 567 3423,https://www.willburt.com/wp-content/Contract%20Manufacturing%20Brochure_WEB.pdf,Vero Beach,FL,manufacturing plant,client,owner_name,,
Mulligan’s Beach House,mary@mulligansbeachsports.com,(772) 492-6744,https://www.mulligansbeachhouse.com/,Vero Beach,FL,restaurant owner,client,owner_name,,
FORT LAUDERDALE FBO,INFO_FLL@FBAVIATION.COM,954-887-6787,https://fontainebleauaviation.com/fort-lauderdale/,Port St. Lucie,FL,aircraft hangar,client,owner_name,,
Florida Life HandyMan,Floridalifehandyman@yahoo.com,(772) 528-1929,https://floridalifehandyman.com/home,Port St. Lucie,FL,handyman service,contractor,owner_name,,
Vet Near Me 34997,ssah@bellsouth.net,772-287-0024,https://stuartsound.com/,Stuart,FL,veterinary clinic,client,owner_name,,
Pet Clinic Near Me 34997,ssah@bellsouth.net,772-287-0024,https://stuartsound.com/our-practice/,Stuart,FL,veterinary clinic,client,owner_name,,
CCVB,church@ccvb.net,772-778-8819,https://ccvb.net/,Vero Beach,FL,church religious facility,client,owner_name,,
Trinity Episcopal Church & School,ahiser@TrinityVero.org,(772.567.1146,https://trinityvero.org/,Vero Beach,FL,church religious facility,client,owner_name,,
Vero Beach Alliance Church,gramsh4christ@yahoo.com,(772) 567-6719,https://www.verobeachalliancechurch.com,Vero Beach,FL,church religious facility,client,owner_name,,
#worklocalstlucie,bostonhousechef@gmail.com,,https://youredc.com/worklocal,Port St. Lucie,FL,industrial plant manager,client,owner_name,,
Local Drum Shops,stix@Drummersonly.com,772-337-4002,https://www.localdrumshops.com/detail/130,Port St. Lucie,FL,retail store owner,client,owner_name,,
Starting a Business in St. Lucie County,BusinessNavigator@StLucieCo.org,,https://www.stlucieco.gov/departments-and-services/planning-and-development-services/economic-development/starting-a-business-in-st-lucie-county,Port St. Lucie,FL,retail store owner,client,owner_name,,
"Epoxy Flooring Contractor Port St. Lucie, FL",cma122710@yahoo.com,772-800-2900,https://cjepoxy.com/port-st-lucie/,Port St. Lucie,FL,epoxy flooring contractor,contractor,owner_name,,
Custom Cabinets,capital32967@aol.com,(772) 794-4660,https://www.capitalcabinets.net/about-us,Vero Beach,FL,cabinet maker,contractor,owner_name,,
Kitchen Cabinets,capital32967@aol.com,(772) 794-4660,https://www.capitalcabinets.net/,Vero Beach,FL,cabinet maker,contractor,owner_name,,
Indian River Cabinet Design,rick@verocabinets.com,772-567-6636,https://indianrivercabinetdesign.com/,Vero Beach,FL,cabinet maker,contractor,owner_name,,
Cabinet Remodeling,capital32967@aol.com,(772) 794-4660,https://www.capitalcabinets.net/gallery,Vero Beach,FL,cabinet maker,contractor,owner_name,,
Custom Cabinets,designsincab@aol.com,772-299-4585,https://designsincabinets.com/,Vero Beach,FL,cabinet maker,contractor,owner_name,,
PDQ Chicken — PDQ Tradition/Port St. Lucie,pdq430@eatpdq.com,772-577-5364,https://www.eatpdq.com/locations/port-st-lucie,Port St. Lucie,FL,restaurant franchise,client,owner_name,,
Florida SART,alopez@martin.fl.us,,https://flsart.org/viewcounty?pageID=0&countyID=42,Stuart,FL,fire station,client,owner_name,,
Cabinet Installation Port Saint Lucie Fl,allstarcarpetandtiles1@yahoo.com,,https://allstarcarpetandtiles.com/cabinet-installation-service-port-st-lucie-fl/,Port St. Lucie,FL,cabinet maker,contractor,owner_name,,
Meet Our Talented Kia Staff Vero Beach FL,luism@toyotaofvero.com,772-732-0420,https://www.kiaofverobeach.com/staff.aspx,Vero Beach,FL,industrial plant manager,client,owner_name,,
"Rain Gutter Guards & Downspout Extensions Port St Lucie, PSL, Stuart FL",gutterguy@gutterguyfl.com,772-334-3139,https://gutterguyofflorida.com/contact-us/,Port St. Lucie,FL,gutter installation,contractor,owner_name,,
Express Laundry,Doubledowncoinlaundry@gmail.com,772-210-5907,https://express-laundry.com/locations/stuart.html,Stuart,FL,laundromat,client,owner_name,,
"Animal General Hospital, Veterinary hospital in Port St Lucie, Fl",agh@petsvet.com,772-344-8835,https://www.petsvet.com,Port St. Lucie,FL,veterinary clinic,client,owner_name,,
CONTACT US,ronnie@kirchmanconstruction.com,(772) 283-4256,https://kirchmanconstruction.com/contact-us,Stuart,FL,general contractor,contractor,owner_name,,
Cleveland Clinic Martin South Hospital,ombudsman@ccf.org,(772) 223-2300,https://211pbtc.myresourcedirectory.com/index.php/component/cpx/?task=resource.view&id=3866369,Stuart,FL,hospital medical facility,client,owner_name,,
Home,hoplife2013@yahoo.com,(772) 249-5055,https://www.hoplifebrewing.com/,Port St. Lucie,FL,brewery taproom,client,owner_name,,
Contact,hoplife2013@yahoo.com,(772) 249-5055,https://hoplife.com/contact/,Port St. Lucie,FL,brewery taproom,client,owner_name,,
Other Info,seton@steasparish.org,(772) 336-0282,https://seascatholicparish.org/36-other-info,Port St. Lucie,FL,church religious facility,client,owner_name,,
Contact Us –orate Air.,reservation@corporate-air.com,,https://corporate-air.com/contact-us/,Vero Beach,FL,aircraft hangar,client,owner_name,,
T-Hangar Layout Map,bdambeck@covb.org,,https://www.verobeachairport.com/t-hangarlayoutmap,Vero Beach,FL,aircraft hangar,client,owner_name,,
FAQ,airport@covb.org,(772) 978-4930,https://www.verobeachairport.com/faq,Vero Beach,FL,aircraft hangar,client,owner_name,,
Port St Lucie Epoxy Pros,support@epoxyportstlucie.com/,772-918-9687,https://www.epoxyportstlucie.com/,Port St. Lucie,FL,Epoxy Flooring,,personal_email,NEEDS_ENRICHMENT,
Port St Lucie property management,admin@fsresidential.com/florida/offices/port-st-lucie-property-management/,,https://www.fsresidential.com/florida/offices/port-st-lucie-property-management/,Port St Lucie,FL,property_manager,,personal_email,NEEDS_ENRICHMENT,
Real Property Management Dynamic,support@rpmdynamic.com/,,https://www.rpmdynamic.com/,Port St Lucie,FL,property_manager,,personal_email,NEEDS_ENRICHMENT,
"Best Property Management Companies in Port St. Lucie, FL",info@expertise.com,,https://www.expertise.com/business/property-management/florida/port-st-lucie,Port St Lucie,FL,property_manager,,personal_email,NEEDS_ENRICHMENT,
Property Management,info@nex-genpartners.com,,https://nex-genpartners.com/services/property-management/,Port St Lucie,FL,property_manager,,personal_email,NEEDS_ENRICHMENT,
