Company,Owner,Email,Quality Score,Issues
"Airfield Hangars","NEEDS_ENRICHMENT","info@sgj-airport.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@sgj-airport.com"
"T-Hangars and Tie Downs","JUNK_DOMAIN","aterpstra@venicefl.gov",8,"Generic/invalid name: JUNK_DOMAIN"
"Property Management","NEEDS_ENRICHMENT","info@commercialflorida.net",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@commercialflorida.net"
"Home","NEEDS_ENRICHMENT","office@faithchurchpsl.org",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: office@faithchurchpsl.org"
"Your Home Discount Warehouse","NEEDS_ENRICHMENT","info@yourhomediscountwarehouse.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@yourhomediscountwarehouse.com"
"Clearwater; FL Warehouse Equipment","NEEDS_ENRICHMENT","sales@warehouseequipmentsite.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: sales@warehouseequipmentsite.com"
"Vesta Property Services – Florida HOA & Community Association Management Experts","Frank Surface","fsurface@vestapropertyservices.com",10,"None"
"Contact Us","NEEDS_ENRICHMENT","info@bosshardtpm.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@bosshardtpm.com"
"Property Management in Gainesville; FL","NEEDS_ENRICHMENT","info@partnersrem.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@partnersrem.com"
"Partners Real Estate Management","NEEDS_ENRICHMENT","info@partnersrem.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@partnersrem.com"
"Property Management Services","NEEDS_ENRICHMENT","info@SecureInvestmentsRealty.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@SecureInvestmentsRealty.com"
"The Pinery","NEEDS_ENRICHMENT","info@thepineryorlando.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@thepineryorlando.com"
"Two Rivers Family Dental","Reem Shafi","reem@2riversfamilydental.com",9,"Missing phone"
"Contact Us","NEEDS_ENRICHMENT","info@ladiespro.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@ladiespro.com"
"Contact Us","NEEDS_ENRICHMENT","info@stuartmartinchamber.org",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@stuartmartinchamber.org"
"Lido Beach Resort Information","NEEDS_ENRICHMENT","info@lidobeachresort.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@lidobeachresort.com"
"Medical Daycare in West Palm Beach","NEEDS_ENRICHMENT","hello@sparkpediatrics.com",8,"Generic/invalid name: NEEDS_ENRICHMENT"
"Breweries in Pensacola; FL with Most Popular Craft Beer List","NEEDS_ENRICHMENT","info@ebhb.org",5,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@ebhb.org; Missing phone"
"Surrounding Breweries in Pensacola","NEEDS_ENRICHMENT","info@ebhb.org",5,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@ebhb.org; Missing phone"
"Home","NEEDS_ENRICHMENT","info@NDC-Commercial.com",5,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@NDC-Commercial.com; Missing phone"
"ICORR Properties","NEEDS_ENRICHMENT","service@icorr.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: service@icorr.com"
"Best Bathroom Remodeling Services Orlando; FL","NEEDS_ENRICHMENT","info@tjhandymanservicesllc.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@tjhandymanservicesllc.com"
"Cornerstone Management Services","Mark Dickson","mark@cornerstonemanagementservices.com",10,"None"
"Business Directory","NEEDS_ENRICHMENT","frontdesk@banyanair.comWebsite",8,"Generic/invalid name: NEEDS_ENRICHMENT"
"THE 5 BEST Cafés in Deltona (Updated 2026)","Todd Johnson","todd@tripadvisor.com",9,"Missing phone"
"P & D Tile Home","NEEDS_ENRICHMENT","info@pndtile.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@pndtile.com"
"Christ Community Church of Pompano Beach","NEEDS_ENRICHMENT","office@christcommunitypompano.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: office@christcommunitypompano.com"
"Get Involved","NEEDS_ENRICHMENT","office@thechurchpbfl.org",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: office@thechurchpbfl.org"
"Miami.Coffee Specialty Coffee Roasters","NEEDS_ENRICHMENT","hello@miami.coffee",7,"Generic/invalid name: NEEDS_ENRICHMENT; Missing phone"
"Home","NEEDS_ENRICHMENT","info@flamgt.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@flamgt.com"
"About Us – Laundromart","NEEDS_ENRICHMENT","info@laundromartorlando.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@laundromartorlando.com"
"Laundry Service Near Me Orlando FL","NEEDS_ENRICHMENT","info@bubbleslaundryfl.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@bubbleslaundryfl.com"
"Orlando Laundry Service","NEEDS_ENRICHMENT","info@bubbleslaundryfl.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@bubbleslaundryfl.com"
"Home","NEEDS_ENRICHMENT","info@jointheriver.org",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@jointheriver.org"
"Restaurant Services;.","NEEDS_ENRICHMENT","info@rsilink.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@rsilink.com"
"Contact","NEEDS_ENRICHMENT","info@casablancaseafood.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@casablancaseafood.com"
"Contact Us","NEEDS_ENRICHMENT","service@dscontractors.com",5,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: service@dscontractors.com; Missing phone"
"Fort Lauderdale Grand Hotel","NEEDS_ENRICHMENT","info@fllhotels.com",5,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@fllhotels.com; Missing phone"
"Locate Quality Child Care – ELC","NEEDS_ENRICHMENT","info@elcsarasota.org",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@elcsarasota.org"
"Sarasota Child Care Providers Page 3","V4_NO_DATA","playandgrowpreschool@live.com",8,"Generic/invalid name: V4_NO_DATA"
"#1 Gutter Repair & Cleaning Services in Miami; FL","NEEDS_ENRICHMENT","contact@miamigutterpros.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: contact@miamigutterpros.com"
"Miami Gutter Services – Expert Gutter Cleaning & Installation","NEEDS_ENRICHMENT","Info@royalairfl.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: Info@royalairfl.com"
"North Hialeah Baptist Church","NEEDS_ENRICHMENT","info@northhialeahbaptist.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@northhialeahbaptist.com"
"Contact A Property Manager Today","NEEDS_ENRICHMENT","info@www.sarasotamanagement.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@www.sarasotamanagement.com"
"General Contractor-Commercial","NEEDS_ENRICHMENT","info@daytonachamber.com",5,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@daytonachamber.com; Missing phone"
"Contact Us","NEEDS_ENRICHMENT","info@spmc-us.com",5,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@spmc-us.com; Missing phone"
"Contact — Salon 230 SPA Above Daytona Beach Gift Certificates Available","V4_NO_DATA","salon230@gmail.com",8,"Generic/invalid name: V4_NO_DATA"
"Contact","NEEDS_ENRICHMENT","Info@DaytonaMedspa.com",5,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: Info@DaytonaMedspa.com; Missing phone"
"Loading dock equipment manufacturers","NEEDS_ENRICHMENT","info@alapontlogistics.us",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@alapontlogistics.us"
"Loading dock seals and shelters","NEEDS_ENRICHMENT","info@alapontlogistics.us",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@alapontlogistics.us"
"Get in Touch with Your Local Brewery in St Petersburg FL","NEEDS_ENRICHMENT","info@grandcentralbrew.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@grandcentralbrew.com"
"Home","NEEDS_ENRICHMENT","info@mhospitalityfl.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@mhospitalityfl.com"
"Jupiter Beach Hotels","NEEDS_ENRICHMENT","info@wyndhamgrandjupiter.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@wyndhamgrandjupiter.com"
"Coastal Heating & Air Conditioning","NEEDS_ENRICHMENT","info@coastalacstuart.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@coastalacstuart.com"
"Jacksonville.gov","V4_NO_DATA","TJeffrey@coj.net",8,"Generic/invalid name: V4_NO_DATA"
"Hialeah Gardens Garage Door Repair","V4_NO_DATA","info@hialeahgardensgaragedoorrepair.com",6,"Generic/invalid name: V4_NO_DATA; Generic email: info@hialeahgardensgaragedoorrepair.com"
"Facial Spa; Spa Services; Luxury Day Spa","NEEDS_ENRICHMENT","info@essentialsdayspasaintpete.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@essentialsdayspasaintpete.com"
"Dentist in Pensacola; FL","NEEDS_ENRICHMENT","info@sonrisaflorida.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@sonrisaflorida.com"
"Cabinet Companies Jacksonville; FL","NEEDS_ENRICHMENT","sales@procraftjacksonville.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: sales@procraftjacksonville.com"
"Contact Us to Discuss Your Kitchen or Bathroom Job in Jacksonville","NEEDS_ENRICHMENT","info@shakercabinetguy.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@shakercabinetguy.com"
"Cabinetry","NEEDS_ENRICHMENT","info@kdgjax.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@kdgjax.com"
"BusyBeesLearningCenter","NEEDS_ENRICHMENT","admin@busybeesocala.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: admin@busybeesocala.com"
"Pet Care in Ocala","NEEDS_ENRICHMENT","info@ocalacentralvetcare.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@ocalacentralvetcare.com"
"Paw Prints Veterinary Clinic","NEEDS_ENRICHMENT","contact@pawprintsveterinary.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: contact@pawprintsveterinary.com"
"Electrician","NEEDS_ENRICHMENT","info@kingdomelectricinc.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@kingdomelectricinc.com"
"Kitchen and Bath Remodeler Near Me Melbourne Florida Remodeling","NEEDS_ENRICHMENT","info@hammondkitchens.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@hammondkitchens.com"
"Contact Our HOA & Condominium Management","NEEDS_ENRICHMENT","frontdesk@amiwra.com",8,"Generic/invalid name: NEEDS_ENRICHMENT"
"Docks / Dredge & Fill","JUNK_DOMAIN","WaterNavPermits@pinellas.gov",7,"Generic/invalid name: JUNK_DOMAIN; Missing phone"
"Hialeah Remodeling","NEEDS_ENRICHMENT","info@remodeling-company.us",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@remodeling-company.us"
"Tile Installation Boca Raton – A1A Flooring","NEEDS_ENRICHMENT","info@a1aflooring.com",5,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@a1aflooring.com; Missing phone"
"HVAC SYSTEM SERVICES","NEEDS_ENRICHMENT","contact@allweathercontractors.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: contact@allweathercontractors.com"
"Deltona","NEEDS_ENRICHMENT","info@journeyconnect.org",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@journeyconnect.org"
"Boca Raton MANUFACTURING","NEEDS_ENRICHMENT","info@bocachamber.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@bocachamber.com"
"Custom Rubber Manufacturer and Molded Rubber Factory in BOCA RATON FL","NEEDS_ENRICHMENT","sales@CoiRubber.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: sales@CoiRubber.com"
"Home","NEEDS_ENRICHMENT","info@wimberlyelectric.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@wimberlyelectric.com"
"Auto Dealer Solutions Used Cars Palmetto FL; Pre-Owned Autos Bradenton FL; Used Trucks Lakewood Ranc","NEEDS_ENRICHMENT","info@adsremarketing.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@adsremarketing.com"
"Velocity 1 Gym","NEEDS_ENRICHMENT","Info@velocity1gym.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: Info@velocity1gym.com"
"Vero Fitness","NEEDS_ENRICHMENT","info@verofitness.fit",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@verofitness.fit"
"#1 Gutter Repair & Cleaning Services in Bradenton; FL","NEEDS_ENRICHMENT","contact@bradentongutterpros.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: contact@bradentongutterpros.com"
"Contact","NEEDS_ENRICHMENT","INFO@MIAMIBESTROOFING.COM",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: INFO@MIAMIBESTROOFING.COM"
"Roofing Contractors Gainesville; FL","NEEDS_ENRICHMENT","info@floridaroofmastersllc.com",5,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@floridaroofmastersllc.com; Missing phone"
"Florida General Contractor: Stuart Turner General Contracting;.","NEEDS_ENRICHMENT","info@stgcinc.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@stgcinc.com"
"Fort Lauderdale PURE Spa","NEEDS_ENRICHMENT","info@pelicanbeach.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@pelicanbeach.com"
"Piola","NEEDS_ENRICHMENT","contact@piolausa.com",5,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: contact@piolausa.com; Missing phone"
"Car Wash In Deltona","NEEDS_ENRICHMENT","help@mistercarwash.com",5,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: help@mistercarwash.com; Missing phone"
"Advanced Property Management Services","NEEDS_ENRICHMENT","info@apmsfl.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@apmsfl.com"
"Best Realtors in Southwest Florida","NEEDS_ENRICHMENT","support@naplesppm.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: support@naplesppm.com"
"Naples Property Management","NEEDS_ENRICHMENT","info@choosegulfcoast.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@choosegulfcoast.com"
"Laundromat","NEEDS_ENRICHMENT","info@maryslaundromart.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@maryslaundromart.com"
