ID,Company,Name,Email,Phone,City,State,Has Email?,Has Name?,Has Position?,Has Contact?,Status
10182,"Clothing Store in Lakeland, 33801",,,844-572-4626,Lakeland,FL,NO,NO,YES,YES,NO EMAIL
10183,"Clothing Store in Lakeland, 33809",,,844-572-4626,Lakeland,FL,NO,NO,YES,YES,NO EMAIL
10185,Café YOU – A Unique Coffee & Food Experience,,cafeyou@yahoo.com,239-600-0966,Cape Coral,FL,YES,NO,YES,YES,NO NAME
10187,The French Press,,,,Cape Coral,FL,NO,NO,YES,YES,NO EMAIL
10188,Penny's Coffee Bar,,,,Cape Coral,FL,NO,NO,YES,YES,NO EMAIL
10189,Urban Buzz Coffee,,,,Cape Coral,FL,NO,NO,YES,YES,NO EMAIL
10190,Specialty Coffee Shops In Cape Coral,,,(239) 494-6329,Cape Coral,FL,NO,NO,YES,YES,NO EMAIL
10191,CafeCapeCoral.com,,,,Cape Coral,FL,NO,NO,NO,YES,NO EMAIL
10192,"Coffee Shops in Cape Coral, Florida",,,,Cape Coral,FL,NO,NO,YES,YES,NO EMAIL
10193,Hialeah Property Management Service for Florida Landlords,,,(561) 944-2992,Hialeah,FL,NO,NO,YES,YES,NO EMAIL
10194,Hialeah HOA and Community Management,,,786-358-0024,Hialeah,FL,NO,NO,YES,YES,NO EMAIL
10195,Commercial Property Management for South Florida Retail & Industrial,,,(305) 693-3500,Hialeah,FL,NO,NO,YES,YES,NO EMAIL
10196,HIALEAH GARDENS PROPERTY MANAGEMENT BY EXPERTS,,,(561) 944-2992,Hialeah,FL,NO,NO,YES,YES,NO EMAIL
10197,Community Association Management Services,,,(786) 938-7800,Hialeah,FL,NO,NO,YES,YES,NO EMAIL
10198,Hialeah Property Management Companies,,,,Hialeah,FL,NO,NO,YES,YES,NO EMAIL
10199,Hialeah Property Management,,,,Hialeah,FL,NO,NO,YES,YES,NO EMAIL
10201,"Property Management in Hialeah, FL",,,,Hialeah,FL,NO,NO,YES,YES,NO EMAIL
10202,Palm Bay Seventh-day Adventist Church – To Be a Christian Means to Be Christ Like,NEEDS_ENRICHMENT,contact@palmbaysdachurch.com,321-768-1462,Palm Bay,FL,NO,YES,YES,YES,NO EMAIL
10203,The Episcopal/Anglican Church of Our Savior,,,,Palm Bay,FL,NO,NO,YES,YES,NO EMAIL
10204,CenterPointe Church,,,(321) 723.1216,Palm Bay,FL,NO,NO,YES,YES,NO EMAIL
10205,Faith Baptist Church of Palm Bay,,,,Palm Bay,FL,NO,NO,YES,YES,NO EMAIL
10206,Participating Churches,,,321-725-1791,Palm Bay,FL,NO,NO,YES,YES,NO EMAIL
10207,The Mission Church,,,,Palm Bay,FL,NO,NO,YES,YES,NO EMAIL
10209,The House Church,,,(321) 951-9998,Palm Bay,FL,NO,NO,YES,YES,NO EMAIL
10210,Peace Lutheran Church Palm Bay,,,,Palm Bay,FL,NO,NO,YES,YES,NO EMAIL
10211,Pensacola Aviation Center,,,850-434-0636,Pensacola,FL,NO,NO,YES,YES,NO EMAIL
10212,VT MAE MRO Hangar at PNS,,,,Pensacola,FL,NO,NO,NO,YES,NO EMAIL
10213,"City of Pensacola, ST Engineering Break Ground on Aircraft Hangar at PNS",,klagarde@cityofpensacola.com,850-435-1623,Pensacola,FL,YES,NO,YES,YES,NO NAME
10214,Aviation Training,,,,Pensacola,FL,NO,NO,YES,YES,NO EMAIL
10215,Innisfree Jet Center Pensacola Florida,V4_NO_DATA,,,Pensacola,FL,NO,YES,YES,YES,NO EMAIL
10216,"City of Pensacola, ST Engineering Break Ground on Aircraft Hangar 3",,depps@cityofpensacola.com,850-435-1629,Pensacola,FL,YES,NO,YES,YES,NO NAME
10217,"Pensacola Aviation Center,L.L.C.",,,,Pensacola,FL,NO,NO,YES,YES,NO EMAIL
10218,International Aviation,JUNK_DOMAIN,cbppensacola@cbp.dhs.gov,(850) 433-3205,Pensacola,FL,YES,YES,YES,YES,VERIFIED
10219,AirNav: Pensacola Aviation at Pensacola International Airport,,,,Pensacola,FL,NO,NO,YES,YES,NO EMAIL
10220,AMENITIES,,,,Pensacola,FL,NO,NO,NO,YES,NO EMAIL
10221,"Homestead, FL Gutter Services",,,866-548-4722,Homestead,FL,NO,NO,YES,YES,NO EMAIL
10222,"Homestead Rain Gutter Installation, Rain Gutter Installation Homestead Florida",,,(305) 270-7779,Homestead,FL,NO,NO,YES,YES,NO EMAIL
10223,About Us,,,786-203-0138,Homestead,FL,NO,NO,YES,YES,NO EMAIL
10224,"Gutter Service in Homestead, FL",,,,Homestead,FL,NO,NO,YES,YES,NO EMAIL
10225,"Homestead Rain Gutters, Rain Gutters Homestead Florida",,,(305) 270-7779,Homestead,FL,NO,NO,YES,YES,NO EMAIL
10226,"Top Rain Gutters in Homestead, FL",,,(786) 357-3780,Homestead,FL,NO,NO,YES,YES,NO EMAIL
10227,"Gutter Contractors in Homestead, Florida",,,,Homestead,FL,NO,NO,YES,YES,NO EMAIL
10228,Remodeling & Tile Installation,,,,Deltona,FL,NO,NO,YES,YES,NO EMAIL
10229,Garage Floor Tile Installation,,,,Deltona,FL,NO,NO,YES,YES,NO EMAIL
10230,"Tile Installation in Deltona, FL",,,,Deltona,FL,NO,NO,YES,YES,NO EMAIL
10231,"Fireclay Tile Repair and Installation Services in Deltona, FL",,,,Deltona,FL,NO,NO,YES,YES,NO EMAIL
10232,Deltona Tile,,,,Deltona,FL,NO,NO,YES,YES,NO EMAIL
10233,Tile Installation in Pinellas County,,ann@paulsprofessionaltile.com,727-784-6916,Deltona,FL,YES,NO,YES,YES,NO NAME
10235,About Our Representatives,,,(954) 427-2206,Vero Beach,FL,NO,NO,YES,YES,NO EMAIL
10236,City of Vero Beach Information,,,,Vero Beach,FL,NO,NO,YES,YES,NO EMAIL
10238,"LF Staffing Office – Vero Beach, FL – 3725 20th Street",,,,Vero Beach,FL,NO,NO,NO,YES,NO EMAIL
10239,"Labor Finders Office – Vero Beach, FL – 1895 Wilbur Ave",,,,Vero Beach,FL,NO,NO,YES,YES,NO EMAIL
10240,Meet Our Talented Kia Staff Vero Beach FL,,luism@toyotaofvero.com,772-732-0420,Vero Beach,FL,YES,NO,YES,YES,NO NAME
10242,"G & H Vero, – Vero Beach, FL 32968",,,,Vero Beach,FL,NO,NO,NO,YES,NO EMAIL
10243,"Manager Jobs, Employment in Vero Beach, FL",,,,Vero Beach,FL,NO,NO,YES,YES,NO EMAIL
10244,"Plant Manager Jobs in Vero Beach, FL (Hiring Now!)",,,,Vero Beach,FL,NO,NO,YES,YES,NO EMAIL
10245,Industrial And Architectural Fabrication Serving Kissimmee,,,(360) 636-5990,Kissimmee,FL,NO,NO,YES,YES,NO EMAIL
10246,About,,,,Kissimmee,FL,NO,NO,NO,YES,NO EMAIL
10247,"48 industrial engineer Jobs in Kissimmee, FL, June 2025",,,,Kissimmee,FL,NO,NO,NO,YES,NO EMAIL
10249,"Manufacturing Contacts in Kissimmee, Florida, United States ...",,,,Kissimmee,FL,NO,NO,YES,YES,NO EMAIL
10250,Meet the Team,V4_NO_DATA,,,Kissimmee,FL,NO,YES,YES,YES,NO EMAIL
10251,"Contact Eric Neilsen, Email: e***@industrialtoolz.com & Phone Number",,,,Kissimmee,FL,NO,NO,YES,YES,NO EMAIL
10252,Industrial Plant Services,,,,Kissimmee,FL,NO,NO,YES,YES,NO EMAIL
10253,Central Florida Industrial Team,,,,Kissimmee,FL,NO,NO,YES,YES,NO EMAIL
10254,"Find Top Engineers in Kissimmee, FL with Reputable Engineers",,,,Kissimmee,FL,NO,NO,YES,YES,NO EMAIL
10255,"Storage Facility in Palm Bay, FL 32905 at Mini U Storage",,palmbay@miniustorage.com,321-953-2121,Palm Bay,FL,YES,NO,YES,YES,NO NAME
10256,Contact Us,NEEDS_ENRICHMENT,support@portofpalmcoldstorage.com,(815) 213-2168,Palm Bay,FL,NO,YES,YES,YES,NO EMAIL
10258,"Storage Units at 1565 Foundation Park Blvd, Palm Bay, FL",,,(844) 427-1409,Palm Bay,FL,NO,NO,YES,YES,NO EMAIL
10259,"Storage Facilities near Palm Bay, FL",,,,Palm Bay,FL,NO,NO,YES,YES,NO EMAIL
10260,"Storage Facility in Palm Bay, FL",,,,Palm Bay,FL,NO,NO,YES,YES,NO EMAIL
10261,Contact Us for Cold Storage and Logistics,,,,Palm Bay,FL,NO,NO,YES,YES,NO EMAIL
10262,Climate-Controlled Storage,,,,Palm Bay,FL,NO,NO,YES,YES,NO EMAIL
10263,"Climate-Controlled Storage Units in Northeast Palm Bay, FL",,,,Palm Bay,FL,NO,NO,YES,YES,NO EMAIL
10264,"Storage Units in Palm Bay, FL at 2465 Palm Bay Rd NE",,,,Palm Bay,FL,NO,NO,YES,YES,NO EMAIL
10265,Commercial Property Management in Naples FL,,,(239)450-9126,Naples,FL,NO,NO,YES,YES,NO EMAIL
10266,Current Property Management,,,(239)450-9126,Naples,FL,NO,NO,YES,YES,NO EMAIL
10267,"Commercial Property Management in Naples, FL • (239) 734-3200",,,,Naples,FL,NO,NO,YES,YES,NO EMAIL
