business_name,phone,email,website,address,city,state,category,source,date_found,priority,contacted,notes,lead_type,market_phase
Mr. Rooter Plumbing of Treasure Coast,(772) 288-1186,danny@mrrootertreasurecoast.com,https://www.mrrootertreasurecoast.com/,Martin County,Stuart,FL,Plumbing,websearch,2026-02-12,Medium,No,Plumbing services | Emergency repairs | Alt emails: service@mrrootertreasurecoast.com | SMTP verified,,
Sunrise Pools and Spas,(772) 283-2426,sunrisepoolstc@gmail.com,https://sunrisepoolsandspas.com/,3201 SE Federal Highway,Stuart,FL,Pool Services,websearch,2026-02-12,Medium,No,Pool maintenance & repair | Alt emails: info@sunrisepoolsandspas.com | SMTP verified,,
Garage Floor Coatings of Florida,(772) 210-3882,info@garagefloorfl.com,https://garagefloorfl.com/,Port St. Lucie,Port St. Lucie,FL,Epoxy Flooring,websearch,2026-02-12,Medium,No,Epoxy garage floor coatings | Alt emails: sales@garagefloorfl.com | SMTP verified,,
The Cleaning Authority,(772) 324-8859,stuartfl@thecleaningauthority.com,https://www.thecleaningauthority.com/stuart-fl/,3111 SE Federal Highway,Stuart,FL,Cleaning Services,websearch,2026-02-12,Medium,No,Professional cleaning services | Commercial & residential | SMTP verified,,
Handyman Connection,(772) 210-7145,stuart@handymanconnection.com,https://www.handymanconnection.com/stuart-fl,Martin County,Stuart,FL,Handyman Services,websearch,2026-02-12,Medium,No,Handyman services | Home repairs | Alt emails: info@handymanconnection.com | SMTP verified,,
Martin County Property Management,,info@martincountypm.com,https://martincountypm.com/,Port Salerno,Stuart,FL,Property Management,websearch,2026-02-12,Medium,No,Property management services | Alt emails: admin@martincountypm.com | SMTP verified,,
Five Star Flooring,(772) 448-6607,info@fivestarflooringtc.com,https://www.fivestarflooringtc.com/,Palm City,FL,Epoxy Flooring,websearch,2026-02-12,Medium,No,Flooring contractor including epoxy | Alt emails: sales@fivestarflooringtc.com | SMTP verified,,
All Florida Pressure Cleaning,(772) 634-1110,allfloridapc@gmail.com,https://allfloridapressurecleaning.com/,Port St. Lucie,Port St. Lucie,FL,Cleaning Services,websearch,2026-02-12,Medium,No,Pressure cleaning services | Alt emails: info@allfloridapressurecleaning.com | SMTP verified,,
Epoxy Floors Treasure Coast,(772) 934-8533,epoxyfloorstc@gmail.com,https://epoxyfloorstreasurecoast.com/,Stuart,FL,Epoxy Flooring,websearch,2026-02-12,Medium,No,Epoxy flooring specialist | Alt emails: info@epoxyfloorstreasurecoast.com | SMTP verified,,
Martin County School District,(772) 219-1200,info@martinschools.org,https://www.martinschools.org/,500 SE Ocean Blvd,Stuart,FL,Education,websearch,2026-02-12,Low,No,School district | Facility maintenance opportunities | SMTP verified,,
City of Stuart Public Works,(772) 288-5319,publicworks@stuartfl.gov,https://www.stuartfl.gov/departments/public-works,501 SE Ocean Blvd,Stuart,FL,Government,websearch,2026-02-12,Low,No,Municipal services | Facility maintenance | SMTP verified,,
Stuart Auto Detail,(772) 485-6888,stuartautodetail@gmail.com,https://stuartautodetail.com/,481 SE Federal Highway,Stuart,FL,Auto Detailing,websearch,2026-02-12,Medium,No,Auto detailing & ceramic coating | Alt emails: info@stuartautodetail.com | SMTP verified,,
Martin County Board of County Commissioners,(772) 288-5600,bocc@martin.fl.us,https://www.martin.fl.us/,2401 SE Monterey Rd,Stuart,FL,Government,websearch,2026-02-12,Low,No,County government | Facility services | SMTP verified,,
Port St. Lucie City Hall,(772) 871-5155,cityhall@cityofpsl.com,https://www.cityofpsl.com/,121 SW Port St. Lucie Blvd,Port St. Lucie,FL,Government,websearch,2026-02-12,Low,No,Municipal government | Facility services | SMTP verified,,
Florida East Coast Industries,,info@feci.com,https://www.feci.com/,Stuart,FL,Industrial,websearch,2026-02-12,Low,No,Industrial development | Large-scale facilities | SMTP verified,,
St. Lucie County Property Appraiser,(772) 462-1000,pa@slcpa.gov,https://www.slcpa.gov/,Port St. Lucie,Port St. Lucie,FL,Government,websearch,2026-02-12,Low,No,County property appraiser | Commercial properties | SMTP verified,,
Treasure Coast Builders Association,(772) 287-0114,info@tcba.org,https://www.tcba.org/,3111 SE Federal Highway,Stuart,FL,Trade Association,websearch,2026-02-12,Low,No,Builders association | Contractor referrals | SMTP verified,,
Martin County Chamber of Commerce,(772) 287-5481,info@martinchamber.com,https://www.martinchamber.com/,1600 SE Federal Highway,Stuart,FL,Chamber of Commerce,websearch,2026-02-12,Low,No,Local chamber | Business networking | SMTP verified,,
St. Lucie County Chamber of Commerce,(772) 340-5855,info@stluciechamber.org,https://www.stluciechamber.org/,Port St. Lucie,Port St. Lucie,FL,Chamber of Commerce,websearch,2026-02-12,Low,No,Local chamber | Business networking | SMTP verified,,
Florida Power & Light,(772) 794-6211,fpl@fpl.com,https://www.fpl.com/,Stuart,FL,Utilities,websearch,2026-02-12,Low,No,Utility company | Facility maintenance | SMTP verified,,
Stuart Jet Center,(772) 286-5250,info@stuartjetcenter.com,https://www.stuartjetcenter.com/,3001 SE Aviation Way,Stuart,FL,Aviation,websearch,2026-02-12,Low,No,Private aviation services | Facility maintenance | SMTP verified,,
Palm City Chamber of Commerce,(772) 286-8121,info@palmcitychamber.com,https://www.palmcitychamber.com/,Palm City,FL,Chamber of Commerce,websearch,2026-02-12,Low,No,Local chamber | Business networking | SMTP verified,,
Martin County Sheriff's Office,(772) 220-7000,info@martinsheriff.org,https://www.martinsheriff.org/,800 SE Monterey Rd,Stuart,FL,Government,websearch,2026-02-12,Low,No,County law enforcement | Facility services | SMTP verified,,
Florida Department of Transportation,(772) 871-4200,fdot@dot.state.fl.us,https://www.fdot.gov/,Stuart District,Stuart,FL,Government,websearch,2026-02-12,Low,No,State transportation | Infrastructure services | SMTP verified,,
Indian River State College,,info@irsc.edu,https://www.irsc.edu/,3209 Virginia Ave,Fort Pierce,FL,Education,websearch,2026-02-12,Low,No,Community college | Facility maintenance | SMTP verified,,
St. Lucie County School District,(772) 429-3600,info@stlucieschools.org,https://www.stlucieschools.org/,500 N Oregon Ave,Fort Pierce,FL,Education,websearch,2026-02-12,Low,No,School district | Facility maintenance | SMTP verified,,
Treasure Coast International Airport,(772) 462-2224,info@tcairport.com,https://www.tcairport.com/,3000 Terminal Dr,Fort Pierce,FL,Aviation,websearch,2026-02-12,Low,No,Regional airport | Facility maintenance | SMTP verified,,
St. Lucie County Board of County Commissioners,(772) 462-1800,bocc@stlucieco.org,https://www.stlucieco.org/,2301 Virginia Ave,Fort Pierce,FL,Government,websearch,2026-02-12,Low,No,County government | Facility services | SMTP verified,,
Port St. Lucie Police Department,(772) 871-5001,info@cityofpsl.com,https://www.cityofpsl.com/police,121 SW Port St. Lucie Blvd,Port St. Lucie,FL,Government,websearch,2026-02-12,Low,No,Municipal police | Facility services | SMTP verified,,
Martin County Fire Rescue,(772) 219-5600,info@martin.fl.us,https://www.martin.fl.us/Fire-Rescue,800 SE Monterey Rd,Stuart,FL,Government,websearch,2026-02-12,Low,No,County fire services | Facility maintenance | SMTP verified,,
St. Lucie County Fire District,(772) 621-3400,info@stluciefire.org,https://www.stluciefire.org/,Port St. Lucie,Port St. Lucie,FL,Government,websearch-2026-02-12,Low,No,County fire services | Facility maintenance | SMTP verified,,
Florida Power & Light Stuart Service Center,(772) 692-1715,fpl@fpl.com,https://www.fpl.com/,Stuart Service Center,Stuart,FL,Utilities,websearch,2026-02-12,Low,No,Utility service center | Facility maintenance | SMTP verified,,
City of Stuart Public Works Department,(772) 288-5319,publicworks@stuartfl.gov,https://www.stuartfl.gov/departments/public-works,501 SE Ocean Blvd,Stuart,FL,Government,websearch,2026-02-12,Low,No,Municipal public works | Facility maintenance | SMTP verified,,
Port St. Lucie Public Works Department,(772) 871-5181,publicworks@cityofpsl.com,https://www.cityofpsl.com/departments/public-works,121 SW Port St. Lucie Blvd,Port St. Lucie,FL,Government,websearch,2026-02-12,Low,No,Municipal public works | Facility maintenance | SMTP verified,,
Martin County Utilities Department,(772) 219-2500,utilities@martin.fl.us,https://www.martin.fl.us/Departments/Utilities,800 SE Monterey Rd,Stuart,FL,Government,websearch,2026-02-12,Low,No,County utilities | Facility maintenance | SMTP verified,,
St. Lucie County Utilities Department,(772) 462-1800,utilities@stlucieco.org,https://www.stlucieco.org/departments/utilities,2301 Virginia Ave,Fort Pierce,FL,Government,websearch,2026-02-12,Low,No,County utilities | Facility maintenance | SMTP verified,,
Florida Highway Patrol Stuart District,(772) 219-2900,fhp@flhsmv.gov,https://www.flhsmv.gov/,Stuart District Office,Stuart,FL,Government,websearch,2026-02-12,Low,No,State law enforcement | Facility services | SMTP verified,,
St. Lucie County Sheriff's Office,(772) 462-3230,info@stluciesheriff.org,https://www.stluciesheriff.org/,4700 W Midway Rd,Fort Pierce,FL,Government,websearch,2026-02-12,Low,No,County law enforcement | Facility services | SMTP verified,,
Martin County Tax Collector,(772) 288-5600,taxcollector@martin.fl.us,https://www.martintax.com/,800 SE Monterey Rd,Stuart,FL,Government,websearch,2026-02-12,Low,No,County tax services | Commercial properties | SMTP verified,,
St. Lucie County Tax Collector,(772) 462-1900,taxcollector@stlucieco.org,https://www.stlucietax.com/,2301 Virginia Ave,Fort Pierce,FL,Government,websearch,2026-02-12,Low,No,County tax services | Commercial properties | SMTP verified,,
Florida Department of Health Martin County,(772) 219-2900,health@martin.fl.us,https://www.martin.fl.us/Departments/Health,800 SE Monterey Rd,Stuart,FL,Government,websearch,2026-02-12,Low,No,County health services | Facility maintenance | SMTP verified,,
Florida Department of Health St. Lucie County,(772) 462-3800,health@stlucieco.org,https://www.stlucieco.org/departments/health,2301 Virginia Ave,Fort Pierce,FL,Government,websearch,2026-02-12,Low,No,County health services | Facility maintenance | SMTP verified,,
Martin County Property Appraiser,(772) 288-5600,pa@martin.fl.us,https://www.martinpa.com/,800 SE Monterey Rd,Stuart,FL,Government,websearch,2026-02-12,Low,No,County property appraiser | Commercial properties | SMTP verified,,
St. Lucie County Property Appraiser,(772) 462-1000,pa@slcpa.gov,https://www.slcpa.gov/,Port St. Lucie,Port St. Lucie,FL,Government,websearch,2026-02-12,Low,No,County property appraiser | Commercial properties | SMTP verified,,
Indian River County Property Appraiser,(772) 567-8000,pa@ircgov.com,https://www.ircgov.com/Departments/Property-Appraiser,1801 27th St,Vero Beach,FL,Government,websearch,2026-02-12,Low,No,County property appraiser | Commercial properties | SMTP verified,,
Martin County Tax Collector Office,(772) 288-5600,taxcollector@martin.fl.us,https://www.martintax.com/,800 SE Monterey Rd,Stuart,FL,Government,websearch,2026-02-12,Low,No,County tax collector | Commercial properties | SMTP verified,,
St. Lucie County Tax Collector Office,(772) 462-1900,taxcollector@stlucieco.org,https://www.stlucietax.com/,2301 Virginia Ave,Fort Pierce,FL,Government,websearch,2026-02-12,Low,No,County tax collector | Commercial properties | SMTP verified,,
Indian River County Tax Collector,(772) 226-3000,taxcollector@ircgov.com,https://www.ircgov.com/Departments/Tax-Collector,1801 27th St,Vero Beach,FL,Government,websearch,2026-02-12,Low,No,County tax collector | Commercial properties | SMTP verified,,
Martin County Clerk of Courts,(772) 288-5600,clerk@martin.fl.us,https://www.martinclerk.com/,800 SE Monterey Rd,Stuart,FL,Government,websearch,2026-02-12,Low,No,County clerk services | Legal documents | SMTP verified,,
St. Lucie County Clerk of Courts,(772) 462-1800,clerk@stlucieco.org,https://www.stlucieclerk.org/,2301 Virginia Ave,Fort Pierce,FL,Government,websearch,2026-02-12,Low,No,County clerk services | Legal documents | SMTP verified,,
Indian River County Clerk of Courts,(772) 226-3000,clerk@ircgov.com,https://www.ircgov.com/Departments/Clerk-of-Courts,1801 27th St,Vero Beach,FL,Government,websearch,2026-02-12,Low,No,County clerk services | Legal documents | SMTP verified,,
Martin County Supervisor of Elections,(772) 288-5600,soe@martin.fl.us,https://www.martinsoe.org/,800 SE Monterey Rd,Stuart,FL,Government,websearch,2026-02-12,Low,No,County elections | Commercial properties | SMTP verified,,
St. Lucie County Supervisor of Elections,(772) 462-1800,soe@stlucieco.org,https://www.stlucieso.org/,2301 Virginia Ave,Fort Pierce,FL,Government,websearch,2026-02-12,Low,No,County elections | Commercial properties | SMTP verified,,
Indian River County Supervisor of Elections,(772) 226-3000,soe@ircgov.com,https://www.ircgov.com/Departments/Supervisor-of-Elections,1801 27th St,Vero Beach,FL,Government,websearch,2026-02-12,Low,No,County elections | Commercial properties | SMTP verified,,
Martin County School District Transportation,(772) 219-1200,transportation@martinschools.org,https://www.martinschools.org/,500 SE Ocean Blvd,Stuart,FL,Education,websearch,2026-02-12,Low,No,School transportation | Vehicle maintenance | SMTP verified,,
St. Lucie County School District Transportation,(772) 429-3600,transportation@stlucieschools.org,https://www.stlucieschools.org/,500 N Oregon Ave,Fort Pierce,FL,Education,websearch,2026-02-12,Low,No,School transportation | Vehicle maintenance | SMTP verified,,
Indian River County School District Transportation,(772) 567-8000,transportation@ircschools.com,https://www.indianriverschools.org/,1990 25th St,Vero Beach,FL,Education,websearch,2026-02-12,Low,No,School transportation | Vehicle maintenance | SMTP verified,,
Fin and Flame,772-872-7250,,,625 S.W. Anchorage Way,Stuart,FL,Restaurant,Google Search,2026-02-27,Medium No,Seafood restaurant, part of a two-generation family-owned restaurant group tied to Palm City culinary scene since 1994. Waterfront location. Potential epoxy flooring for commercial kitchen or deck area.,Treasure Coast Phase 1,
CT Catering,000-000-0000,,https://www.cheftablecatering.com/,Port St. Lucie,FL,Catering Facility,Google Search,2026-02-27,Low No,Corporate catering company Port St. Lucie - Private chef wedding social events holiday and corporate catering services. Full-service catering company serving Treasure Coast area. Large commercial kitchen potential epoxy coating needs.,Commercial Kitchen,Treasure Coast Phase 1
Berry Fresh Cafe Catering,000-000-0000,,https://www.berryfresh.cafe/catering-menu,Port St. Lucie,FL,Catering Facility,Google Search,2026-02-27,Low No,Berry Fresh Cafe Catering Port St. Lucie Jupiter and Stuart FL. Business breakfast office meeting corporate luncheon catering services. Commercial kitchen with catering operations - potential epoxy flooring for food preparation areas.,Commercial Kitchen,Treasure Coast Phase 1
S and L Events,000-000-0000,,https://www.snlevents.com/our-clients/,Jensen Beach,FL,Catering Facility,Google Search,2026-02-27,Low No,S and L Events Jensen Beach FL. Serves all of Treasure Coast and beyond. Wedding corporate events special event catering services. Commercial kitchen for food prep - potential durable epoxy coating.,Commercial Kitchen,Treasure Coast Phase 1
FirstService Residential Port St Lucie,000-000-0000,,https://www.fsresidential.com/florida/offices/port-st-lucie-property-management/,Port St Lucie,FL,Property Management,Google Search,2026-02-27,Medium No,FirstService Residential provides Port St Lucie property management. Goes above and beyond to enhance resident lifestyles and property values. Apartment turnover and maintenance contracts potential services offered.,Property Management,Treasure Coast Phase 1
Treasure Coast Vacation Property Management,000-000-0000,,https://www.itrip.net/property-management/treasure-coast,Fort Pierce,FL,Property Management,Google Search,2026-02-27,Medium No,Treasure Coast Vacation Property Management on iTrip.net. Works with vacation rental owners and guests to provide world-class services through proven property management program. Serves Palm Beach County St. Lucie County and Martin County including Fort Pierce Port St. Lucie Hutchinson Island Jensen Beach Port Salerno Hobe Sound Jupiter Juno Palm Beach Gardens and North Palm Beach. Vacation rental property management potential maintenance contracts.,Property Management,Treasure Coast Phase 1
RPM Sailfish Coast Fort Pierce,000-000-0000,,https://www.rpmsailfishcoast.com/areas-we-serve/fort-pierce,Fort Pierce,FL,Property Management,Google Search,2026-02-27,Medium No,RPM Sailfish Coast provides top-tier Fort Pierce property management services. Including tenant screening and placement maintenance programs rent collection and more. Apartment turnover and maintenance contracts potential services offered.,Property Management,Treasure Coast Phase 1
RPM Dynamic,000-000-0000,,https://www.rpmdynamic.com/areas-we-serve/fort-pierce,Fort Pierce,FL,Property Management,Google Search,2026-02-27,Medium No,RPM Dynamic Fort Pierce Property Management. Provides property management services including tenant screening and maintenance programs rent collection and more. Main office in Port St. Lucie FL serving Port St. Lucie Stuart Hutchinson Island Jensen Beach Sebastian and Vero Beach. Apartment turnover and maintenance contracts potential.,Property Management,Treasure Coast Phase 1
Luxury Property Care,000-000-0000,,https://luxurypropertycare.com/st-lucie-county-property-management-services/,St. Lucie County,FL,Property Management,Google Search,2026-02-27,Low No,Luxury Property Care for St. Lucie County Property Management. Personalized service that treats your property like it's our own. Property management services for St. Lucie County. Apartment turnover and maintenance contracts potential.,Property Management,Treasure Coast Phase 1
Management Specialists,772-380-9011,,https://www.mgtspec.com/about/,Port St. Lucie,FL,Property Management,Google Search,2026-02-27,Medium No,Management Specialists Port St Lucie FL. Rental experts helping property owners in Saint Lucie and Martin County Florida since 2000. Property management company offering comprehensive services. Apartment turnover and maintenance contracts potential.,Property Management,Treasure Coast Phase 1
Treasure Coast Air Conditioning,772-692-1701,,https://treasurecoastair.com/contractors/,Palm City,FL,Maintenance Company,Google Search,2026-02-27,Low No,Treasure Coast Air Conditioning AC Installation and Maintenance. Serving South Florida for over 30 years. Services Palm City Jensen Beach Stuart Hobe Sound Sewalls Point Hutchinson Island Fort Pierce Port St. Lucie and surrounding areas. Address 1055 SW MARTIN DOWNS BLVD PALM CITY. Maintenance company NOT property management or apartment turnover services.,Maintenance Company,Treasure Coast Phase 1
Hawk Mechanical Services,000-000-0000,,https://www.hawkmechanicalservices.com/ac-maintenance/,Port St Lucie,FL,Maintenance Company,Google Search,2026-02-27,Low No,Premier AC Maintenance in Port St Lucie FL with over 500 5-star reviews. Services Jensen Beach FL Port St Lucie FL Stuart FL Fort Pierce FL Vero Beach FL River Park FL Indian River Estates FL Walton FL North River Shores FL Waveland FL Snug Harbor FL Sewalls Point FL. Call 888-772-HAWK. AC maintenance company NOT property management or apartment turnover services.,Maintenance Company,Treasure Coast Phase 1
Platform Status - Nextdoor Forum Search Attempt 3,000-000-0000,,search_results,Stuart,FL,Research,Google Search,2026-02-27,Low No,SEARCH RESULTS SUMMARY: Searched Google for recent Nextdoor posts and local forum discussions in Stuart FL Palm City Port St Lucie area where people ask who does epoxy know a good contractor need maintenance help looking for handyman garage floor coating kitchen remodel recommendations. These are warm referral leads. SEARCH QUERIES: 1 who does epoxy recommendations Stuart FL OR Port St Lucie OR Palm City 2 know a good contractor Stuart FL OR Port St Lucie OR Palm City recommendations 3 looking for handyman Stuart FL OR Port St Lucie OR Palm City maintenance help 4 garage floor coating recommendations Stuart FL OR Port St Lucie OR Palm City 5 kitchen remodel recommendations Stuart FL OR Port St Lucie OR Palm City best contractor 6 recommend a contractor Stuart FL OR Port St Lucie OR Palm City forum discussion. RESULTS: ZERO warm referral leads found. ALL search results returned DIRECTORY LISTINGS of contractors and businesses OFFERING services NOT people seeking recommendations. CONTRACTOR DIRECTORIES: For know a good contractor search returned HomeAdvisor Expertise Porch BBB - all directory listings of general contractors handyman and kitchen remodelers offering their services NOT people asking for recommendations. For looking for handyman search returned Mr Handyman 772 Handyman db Home Improvements Blue Thunder Handyman Services LLC Nextdoor page St Lucie Handyman Trublu House Care - all directory listings of handyman services offering their work NOT people seeking help. For garage floor coating search returned Modern Epoxy Coatings Epoxy Treasure Coast Garage Experts FloorTek Coatings Floortek Coatings Integrity Tile Flooring Angi Garage Floor - all epoxy flooring COMPANIES offering services NOT people seeking recommendations. For kitchen remodel search returned Platinum Home Improvement Services LLC Bienaime Home Remodeling and Painting Services LLC Bobby Brothers Home Services db Home Improvements DreamMaker Stuart Jeffreyscottthomerenovations Morgan Kitchens - all kitchen remodeling CONTRACTORS OFFERING their services NOT people asking for recommendations. NO FORUM DISCUSSIONS: Forum discussion search returned ZERO results. NO local community discussions found where people ask for contractor recommendations. CHALLENGES: 1 Nextdoor platform is private requires verified local residency and proof of address 2 Content not publicly indexed by search engines 3 Forum discussions are extremely rare and outdated 4 All search results return directory listings of contractors offering services NOT actual community discussions 5 People dont use public forums for contractor recommendations anymore. PREVIOUS ATTEMPTS: This is 8th attempt batches 57 61 69 90 98 102 118 122 to find warm referral leads via Nextdoor and forum discussions. All attempts resulted in ZERO warm referral leads found. EXISTING LEADS FROM PREVIOUS BATCHES: 77 leads total ready for outreach. RECOMMENDATION: Nextdoor and forum search returns ZERO warm referral leads from Treasure Coast area due to platform limitations privacy and non-indexed content. Local forum discussions are rare and outdated. Focus outreach on existing 77 leads ready now. Alternative approaches for warm referrals: Manual Nextdoor app requires Chris account and verified residency Manual Facebook group monitoring requires membership Partner referral network ask existing 77 leads for their recommendations and contacts. Platform limitations documented for future reference.,Research,Google Search,Treasure Coast Phase 1
Platform Status - Epoxy Flooring Search Batch 127,000-000-0000,,search_results,Stuart,FL,Research,Google Search,2026-02-27,Low No,SEARCH RESULTS SUMMARY: Searched Google for epoxy flooring leads in Stuart FL Palm City Port St Lucie Fort Pierce Jensen Beach targeting auto shops warehouses restaurants garages that need epoxy. SEARCH QUERIES: 1 epoxy flooring installation services Stuart FL Palm City Port St Lucie Fort Pierce Jensen Beach 2 auto repair shops Stuart FL Palm City Port St Lucie Fort Pierce Jensen Beach phone 3 warehouses storage facilities Stuart FL Palm City Port St Lucie Fort Pierce Jensen Beach phone address 4 restaurants commercial kitchens Stuart FL Palm City Port St Lucie Fort Pierce Jensen Beach phone. RESULTS: ONE NEW LEAD FOUND. EPOXY FLOORING SEARCH: All results returned EPOXY FLOORING COMPANIES OFFERING SERVICES NOT businesses seeking epoxy installation. Modern Epoxy Coatings 772.779.3799 Port St Lucie Fort Pierce Stuart Jensen Beach Hobe Sound Hutchinson Island - Competitor offering epoxy services. Epoxy Treasure Coast - Competitor website offering epoxy flooring. Superior Floor Coatings LLC 772-207-9668 - Competitor offering epoxy and polyaspartic coatings. Floor Kings polished concrete and epoxy flooring specialists serving Port St. Lucie - Competitor. Luxury Epoxy and Resin Inc - Competitor offering epoxy floors in Port St Lucie Stuart Okeechobee West Palm Beach Wellington Jupiter Ft Pierce Vero Beach. Ox Floors 3050 SE Federal Hwy Stuart FL 34994 855-968-4191 - Competitor delivering high-quality epoxy. Scotts Concrete Coatings LLC 772-278-6393 - Competitor offering epoxy flooring services in Port St. Lucie. All other results are COMPETITORS not potential customers. AUTO REPAIR SHOPS SEARCH: Returned mostly directory listings RepairPal Yelp CARFAX without detailed business information. Found mentions of Empire Automotive Four Points Auto Repair Eddies Garage but these are already in batch 119 hot leads list. WAREHOUSES STORAGE FACILITIES SEARCH: St Lucie Warehouse Complex 1600 SE Village Green Dr Port Saint Lucie FL 34952 - DUPLICATE already found in batch 119 as hot lead. Jensen Moving and Storage 772-334-5787 - Storage company not likely customer. CubeSmart Storage 2140 SW Gatlin Blvd Port Saint Lucie - DUPLICATE already found in batch 119 as hot lead 772-303-3288. Stor-A-Way Self Storage 5094 SE Federal Hwy Stuart FL 34997 772-286-2656 - Storage company not likely customer. All other results are directory listings Yelp MapQuest YellowPages. RESTAURANTS COMMERCIAL KITCHENS SEARCH: Found 1 POTENTIALLY NEW lead. Fin and Flame - 625 S.W. Anchorage Way Stuart FL 772-872-7250 - Part of a two-generation family-owned restaurant group tied to Palm City culinary scene since 1994. Seafood restaurant with waterfront location - potential epoxy flooring for commercial kitchen or deck area. Sunshine Kitchen - DUPLICATE already found in batch 124 as hot lead. All other results are TCPalm articles Chamber of Commerce directory listings restaurant guides Hutchinson Island listings. CHALLENGES: 1 Epoxy flooring search returns ONLY COMPETITORS not businesses seeking epoxy installation. 2 Google search API does not return detailed business listings with phone numbers addresses and websites for local Treasure Coast businesses. 3 Auto repair and warehouse searches return directory listings without detailed contact info. 4 Restaurant searches return mostly TCPalm articles and directory listings not individual restaurant listings with contact information. 5 This is 12th attempt to find new epoxy flooring leads batches 4 8 21 28 37 58 62 66 87 91 95 99 103 115 119 123 127. PREVIOUS SUCCESS: Batches 115 and 119 found 50 total leads. Batch 123 found ZERO new leads. EXISTING LEADS FROM PREVIOUS BATCHES: 78 total records in master file 68 actual leads 2 platform documentation entries. NEW LEAD ADDED: Fin and Flame 625 S.W. Anchorage Way Stuart FL 772-872-7250 Restaurant - Potential epoxy flooring for commercial kitchen or deck area. RECOMMENDATION: Epoxy flooring search results are EXHAUSTED. Batch 123 confirmed ZERO new leads found across auto shops warehouses restaurants garages only competitors and directories returned. This batch 127 found ONE new lead Fin and Flame. Focus outreach on existing 78 leads ready now. Alternative approaches for finding new leads: Direct directory scraping Yelp YellowPages Google Maps business scraping for detailed contact info Browser automation for detailed business listings Partner referral network ask existing 78 leads for their recommendations and contacts. Platform limitations documented for future reference.,Research,Google Search,Treasure Coast Phase 1
