business_name,category,email,phone,address,url,metro
Miami Power Company,contractor,,,"https://miamipowercompany.com/",Miami Metro
Elekron Electric,contractor,,(786) 423-5230,,https://www.elekronelectric.com,Miami Metro
W&N Electrical Contractor,contractor,,,"https://wnelectrical.com/",Miami Metro
Statewide Electrical Contractors,contractor,info@swecinc.com,(305) 971-8864,"14100 SW 182 Ave, Miami, FL 33196",https://swecinc.com/contact-us/,Miami Metro
Legacy Electrical Contractors,contractor,info@legacy-electricalcontractor.com,(305) 896-7742,"16500 Southwest 137th Avenue, Miami, Florida 33177",https://legacy-electricalcontractor.com/,Miami Metro
Kilby Electric Company,contractor,,,"https://www.kilbyelectric.com/electrical-services",Miami Metro
RCI Air Conditioning,contractor,,(305) 396-3728,,https://rci-air.com/,Miami Metro
Ameri Temp Air Conditioning,contractor,,(305) 221-2255,,https://www.ameritempac.com/commercial-hvac,Miami Metro
TemPros Air Conditioning & Heating,contractor,,(305) 609-5132,"Miami, FL 33186",https://temprosair.com/,Miami Metro
Weathermakers Air Conditioning,contractor,,(305) 233-5820,,https://www.weathermakers.net/commercial-ac,Miami Metro
ARS/Rescue Rooter Miami,contractor,,,"https://www.ars.com/miami",Miami Metro
Trinity Air Conditioning Company,contractor,,,"https://trinityac.com/",Miami Metro
Freezing Mechanical,contractor,,,"https://freezingmechanical.com/",Miami Metro
A. Palmer Roofing,contractor,,(305) 232-9211,,https://www.apalmerroofing.com/,Miami Metro
Florida Commercial Roofing,contractor,,(305) 908-1450,,https://floridacommercialroofing.net/,Miami Metro
Gold Star Roofing & Construction,contractor,,(786) 496-9355,,https://www.goldstarroofing.us/,Miami Metro
Perfect Roofing FL,contractor,,,"https://perfectroofingfl.com/",Miami Metro
South Miami Roofing,contractor,,(305) 242-0039,,https://southmiamiroofing.com/,Miami Metro
T&S Roofing Systems,contractor,,,"https://www.tsroofingsystems.com/",Miami Metro
Dennis Roofing Contractors,contractor,,(305) 258-6655,,https://dennisroofing.com/,Miami Metro
Rausa Builders Corp Roofing,contractor,,(305) 554-5711,,https://www.roofrepairmiami.com/,Miami Metro
Affordable Roofing Contractors,contractor,,(305) 652-0300,,https://www.affordableroofingcontractors.com/,Miami Metro
Miami Kitchen & Bath Remodeling,contractor,,(305) 423-8277,"3401 NE 1st Ave #916 Miami, FL 33137",https://kitchenandbathmiami.com/,Miami Metro
AW Puma Restoration & Remodeling,contractor,,(305) 344-7862,"Penthouse 5, Miami FL, 33131",https://awpumafl.com/home-remodeling-services/kitchen-remodeling-services/,Miami Metro
Miami Remodeling,contractor,,(786) 627-5048,,https://miami-remodeling.net/kitchen/,Miami Metro
Kitchen Solvers of North Miami,contractor,,305-428-7455,,https://kitchensolvers.com/northmiami/kitchen-remodeling-miami-beach-fl/,Miami Metro
MIDI Development,contractor,,,"https://www.midiusa.com/miamikitchenremodeling",Miami Metro
MT Construction Group,contractor,,,"https://miamitile.com/remodeling-contractor/kitchen-remodeling/",Miami Metro
Trebor General Contractors,contractor,,,"12976 SW 89th Avenue",https://www.treborgeneralcontractors.com/kitchen.php,Miami Metro
Admer Construction Group,contractor,,,"https://www.admerconstruction.com/residential-construction-remodeling/kitchen-remodeling/",Miami Metro
Kitchen Remodel of Miami,contractor,,(786) 322-8669,,https://remodelingkitchenmiami.com/,Miami Metro
Ask Mister Handyman,contractor,,(800) 315-8050,,https://askmisterhandyman.com/,Miami Metro
Pro Handyman Miami,contractor,,(786) 571-5110,,https://www.prohandymanmia.com/interior-painting/,Miami Metro
305 Select Services,contractor,,(305) 305-3953,,https://www.angi.com/companylist/us/fl/miami/handyman-service.htm,Miami Metro
Mr. Handyman Miami,contractor,,,"https://www.mrhandyman.com/miami-aventura-kendall/residential-services/",Miami Metro
Handyman Pars,contractor,,(754) 267-4506,,https://handymanpars.com/home/,Miami Metro
Luis Handyman Services,contractor,,,"https://handymaninmiamifl.com/",Miami Metro
The Trusty Handyman,contractor,info@thetrustyhandyman.com,(954) 951-8322,,https://thetrustyhandyman.com/,Miami Metro
