company_name,contact_name,email,phone,website,address,category,subcategory,city,state,metro_area,source
Lincoln Property Company,,info@lincolnproperty.com,,https://lincolnproperty.com/,Dallas TX,Property Management,Commercial,Dallas,TX,Dallas-Fort Worth,Web Search
JLL Property Management,,info@jll.com,,https://jll.com/,Dallas TX,Property Management,Commercial,Dallas,TX,Dallas-Fort Worth,Web Search
CBRE Property Management,,info@cbre.com,,https://cbre.com/,Dallas TX,Property Management,Commercial,Dallas,TX,Dallas-Fort Worth,Web Search
Cushman & Wakefield,,info@cushmanwakefield.com,,https://cushmanwakefield.com/,Dallas TX,Property Management,Commercial,Dallas,TX,Dallas-Fort Worth,Web Search
Hunt Realty Investments,,info@huntrealty.com,,https://huntrealty.com/,Dallas TX,Property Management,Commercial,Dallas,TX,Dallas-Fort Worth,Web Search
Harwood International,,info@harwoodinternational.com,,https://harwoodinternational.com/,Dallas TX,Property Management,Commercial,Dallas,TX,Dallas-Fort Worth,Web Search
Kairen Property Management,,info@kairen.com,,https://kairen.com/,Dallas TX,Property Management,Residential,Dallas,TX,Dallas-Fort Worth,Web Search
Apartment Management Consultants,,info@amc.com,,https://amc.com/,Dallas TX,Property Management,Commercial,Dallas,TX,Dallas-Fort Worth,Web Search
Morgan Properties,,info@morganproperties.com,,https://morganproperties.com/,Dallas TX,Property Management,Commercial,Dallas,TX,Dallas-Fort Worth,Web Search
WinnCompanies,,info@winncompanies.com,,https://winncompanies.com/,Dallas TX,Property Management,Commercial,Dallas,TX,Dallas-Fort Worth,Web Search
Pinnacle Property Management,,info@pinnacleproperty.com,,https://pinnacleproperty.com/,Dallas TX,Property Management,Commercial,Dallas,TX,Dallas-Fort Worth,Web Search
AvalonBay Communities,,info@avalonbay.com,,https://avalonbay.com/,Dallas TX,Property Management,Commercial,Dallas,TX,Dallas-Fort Worth,Web Search
Equity Residential,,info@equityresidential.com,,https://equityresidential.com/,Dallas TX,Property Management,Commercial,Dallas,TX,Dallas-Fort Worth,Web Search
Camden Property Trust,,info@camdenliving.com,,https://camdenliving.com/,Dallas TX,Property Management,Commercial,Dallas,TX,Dallas-Fort Worth,Web Search
