business_name,website,phone,email,city,state,metro,region,category,lead_type,priority,source,notes,contact_name
TCT Properties,https://www.tctproperties.com/,(480) 632-4222,info@tctproperties.com,Phoenix,AZ,Phoenix,Mountain,Property Management,client,High,phoenix_scraper_20260222,"Phoenix metro Property Management - scraped 2026-02-22 03:00:00",
Real Property Management Phoenix Valley,https://www.rpmphoenixvalley.com/,,,,Phoenix,AZ,Phoenix,Mountain,Property Management,client,High,phoenix_scraper_20260222,"Phoenix metro Property Management - scraped 2026-02-22 03:00:00",
LeaseAZ (Service Star Realty),https://www.leaseaz.com/,480.426.9696,,Scottsdale,AZ,Phoenix,Mountain,Property Management,client,High,phoenix_scraper_20260222,"Phoenix metro Property Management - scraped 2026-02-22 03:00:00",
Moxie Real Estate,https://www.moxierealestate.com/,,,,Phoenix,AZ,Phoenix,Mountain,Property Management,client,High,phoenix_scraper_20260222,"Phoenix metro Property Management - scraped 2026-02-22 03:00:00",
HomeQwik Property Management,https://phoenix-propertymanagement.com/,(602) 792-5353,,Phoenix,AZ,Phoenix,Mountain,Property Management,client,High,phoenix_scraper_20260222,"Phoenix metro Property Management - scraped 2026-02-22 03:00:00",
Rosenbaum Realty Group,https://www.rosenbaumrealtygroup.com/,,,,Phoenix,AZ,Phoenix,Mountain,Property Management,client,High,phoenix_scraper_20260222,"Phoenix metro Property Management - scraped 2026-02-22 03:00:00",
Simply Property Management,https://phoenixpropertymgmt.com/,,,,Phoenix,AZ,Phoenix,Mountain,Property Management,client,High,phoenix_scraper_20260222,"Phoenix metro Property Management - scraped 2026-02-22 03:00:00",
Property Management Real Estate Services,https://www.propertymanagementscottsdaleaz.com/,,,,Scottsdale,AZ,Phoenix,Mountain,Property Management,client,High,phoenix_scraper_20260222,"Phoenix metro Property Management - scraped 2026-02-22 03:00:00",
PMI Real Estate Services,https://www.mesapropertymanagementinc.com/,,,,Scottsdale,AZ,Phoenix,Mountain,Property Management,client,High,phoenix_scraper_20260222,"Phoenix metro Property Management - scraped 2026-02-22 03:00:00",
Advanced Development and Building Services,https://www.advbld.com/general-contractor-in-phoenix-scottsdale-az-residential-commercial/phoenix.cfm,,,Phoenix,AZ,Phoenix,Mountain,General Contractor,contractor,High,phoenix_scraper_20260222,"Phoenix metro General Contractor - scraped 2026-02-22 03:00:00",
Phoenix Remodel,https://phoenixremodel.net/,(602) 975-2870,,Phoenix,AZ,Phoenix,Mountain,General Contractor,contractor,High,phoenix_scraper_20260222,"Phoenix metro General Contractor - scraped 2026-02-22 03:00:00",
Jen The Builder,https://www.jenthebuilder.com/,,,,Phoenix,AZ,Phoenix,Mountain,General Contractor,contractor,High,phoenix_scraper_20260222,"Phoenix metro General Contractor - scraped 2026-02-22 03:00:00",
Laurshan Construction,https://laurshanconstruction.com/,+1 480-481-9783,shannon@laurshanconstruction.com,Phoenix,AZ,Phoenix,Mountain,General Contractor,contractor,High,phoenix_scraper_20260222,"Phoenix metro General Contractor - scraped 2026-02-22 03:00:00",
Metro Builders AZ,https://metrobuildersaz.com/,,,,Phoenix,AZ,Phoenix,Mountain,General Contractor,contractor,High,phoenix_scraper_20260222,"Phoenix metro General Contractor - scraped 2026-02-22 03:00:00",
Valcon General,https://valcongeneral.com/,,,,Phoenix,AZ,Phoenix,Mountain,General Contractor,contractor,High,phoenix_scraper_20260222,"Phoenix metro General Contractor - scraped 2026-02-22 03:00:00",
P J H Construction,https://pjh-construction.com/,,,,Phoenix,AZ,Phoenix,Mountain,General Contractor,contractor,High,phoenix_scraper_20260222,"Phoenix metro General Contractor - scraped 2026-02-22 03:00:00",
MCS Phoenix Remodeling,https://mcsphoenixremodeling.com/,480.360.6640,,Phoenix,AZ,Phoenix,Mountain,General Contractor,contractor,High,phoenix_scraper_20260222,"Phoenix metro General Contractor - scraped 2026-02-22 03:00:00",
JMG Contracting,https://jmgcontracting.com/,602-358-0661,,Phoenix,AZ,Phoenix,Mountain,General Contractor,contractor,High,phoenix_scraper_20260222,"Phoenix metro General Contractor - scraped 2026-02-22 03:00:00",
Weeks & Mitchell,https://weeksandmitchell.com/,(480) 961-8995,,Phoenix,AZ,Phoenix,Mountain,General Contractor,contractor,High,phoenix_scraper_20260222,"Phoenix metro General Contractor - scraped 2026-02-22 03:00:00",
TWDAZ,https://twdaz.com/,623-544-1211,,Phoenix,AZ,Phoenix,Mountain,General Contractor,contractor,High,phoenix_scraper_20260222,"Phoenix metro General Contractor - scraped 2026-02-22 03:00:00",
Phoenix Home Remodeling,https://phxhomeremodeling.com/,602-492-8205,,Phoenix,AZ,Phoenix,Mountain,General Contractor,contractor,High,phoenix_scraper_20260222,"Phoenix metro General Contractor - scraped 2026-02-22 03:00:00",
Legacy Design Build Remodeling,https://legacyaz.com/about-us/additional-information/arizona-kitchen-remodeling/,(480) 534-3934,,Phoenix,AZ,Phoenix,Mountain,General Contractor,contractor,High,phoenix_scraper_20260222,"Phoenix metro General Contractor - scraped 2026-02-22 03:00:00",
Luna Contracting,https://lunacontractingaz.com/,480-745-0076,,Phoenix,AZ,Phoenix,Mountain,General Contractor,contractor,High,phoenix_scraper_20260222,"Phoenix metro General Contractor - scraped 2026-02-22 03:00:00",
Rise Above Remodeling,https://riseaboveremodeling.com/,623-551-2013,,Anthem,AZ,Phoenix,Mountain,General Contractor,contractor,High,phoenix_scraper_20260222,"Phoenix metro General Contractor - scraped 2026-02-22 03:00:00",
Cook Remodeling,https://www.cookremodeling.com/,,,,Phoenix,AZ,Phoenix,Mountain,General Contractor,contractor,High,phoenix_scraper_20260222,"Phoenix metro General Contractor - scraped 2026-02-22 03:00:00",
Wespac Construction,https://www.wespacaz.com,,,,Phoenix,AZ,Phoenix,Mountain,General Contractor,contractor,High,phoenix_scraper_20260222,"Phoenix metro General Contractor - scraped 2026-02-22 03:00:00",
Chanen Construction,https://chanen.com/,,,,Phoenix,AZ,Phoenix,Mountain,General Contractor,contractor,High,phoenix_scraper_20260222,"Phoenix metro General Contractor - scraped 2026-02-22 03:00:00",
DPR Construction,https://www.dpr.com/company/locations/phoenix-arizona,,,,Phoenix,AZ,Phoenix,Mountain,General Contractor,contractor,High,phoenix_scraper_20260222,"Phoenix metro General Contractor - scraped 2026-02-22 03:00:00",
Sundt Construction,https://www.sundt.com/,,,,Phoenix,AZ,Phoenix,Mountain,General Contractor,contractor,High,phoenix_scraper_20260222,"Phoenix metro General Contractor - scraped 2026-02-22 03:00:00"
