business_name,phone,email,website,address,city,state,category,source,date_found,priority,contacted,notes,lead_type,market_phase
Eva's Polish Kitchen,,,https://www.yellowpages.com/vero-beach-fl/caterers,Vero Beach,FL,Catering Facility,websearch,2026-02-23,Medium No,"Eva's Polish Kitchen - Several times at Eva's Polish Kitchen"
Stuart Downtown Living Property Management,,,https://www.stuartdowntownliving.com/property-management,Stuart,FL,Apartment Turnover,websearch,2026-02-23,Medium No,"Stuart Downtown Living - Professional group of service companies. Having qualified group of professional services to handle emergencies and general maintenance of property is very important. Bulk buying power is edge to get fair and competitive prices"
Serenity Stuart Home,,,https://www.serenitystuart.com/,Stuart,FL,Apartment Turnover,websearch,2026-02-23,Medium,No,"Serenity Stuart Home - Modern living, luxury design. Quickly submit maintenance requests that go directly to maintenance queue. Sign up, submit repair requests, view account from anywhere. Ideally located less than two miles from Downtown Stuart and minutes from beach"
Florida Property Management Agency,,,https://www.floridapm.net/,Stuart,FL,Apartment Turnover,websearch,2026-02-23,Medium No,"Florida Property Management Agency - Expert property management in St Lucie, Martin and Palm Beach Counties. Inspections upon move-in and move-out. Ensure all maintenance issues are addressed in timely manner"
Luxury Property Care,,,https://luxurypropertycare.com/st-lucie-county-property-management-services/,Stuart,FL,Apartment Turnover,websearch,2026-02-23,Medium No,"Luxury Property Care - Sivan and Karen handle everything with care. From maintenance to tenant communication—and everything in between. Working with luxury homes, gated communities, vacation rentals in Palm Beach and Martin Counties"
Advantage Property Management Stuart,772-334-8900,https://www.yelp.com/biz/advantage-property-management-stuart,1111 SE Federal Hwy Ste 100,Stuart,FL,Apartment Turnover,websearch,2026-02-23,Medium No,"Advantage Property Management - 1111 SE Federal Hwy Ste 100 Stuart FL. Property Maintenance Services, Leasing Agents, Business website. Phone 772-334-8900"
Real Property Management Sailfish Coast,,,https://www.rpmsailfishcoast.com/,Stuart,FL,Apartment Turnover,websearch,2026-02-23,Medium No,"Real Property Management Sailfish Coast - Support is available around the clock, whether you need after-hours maintenance, have leasing questions, or showing requests. Property management for Stuart, Jensen Beach, Hobe Sound, Port St Lucie"
Edwards Enterprises Apartment Maintenance Rental & Turnover Repair,,,https://www.edwardsenterprisescc.com/services/repair/apartment-maintenance-rental-turnover/,Stuart,FL,Apartment Turnover,websearch,2026-02-23,Medium No,"Edwards Enterprises - On-time maintenance solution to fulfill apartment maintenance fix-it list. Once work orders are assigned, schedule when key access is available. Have technicians in field every day. Experience with vacancy turnovers and rental maintenance requests"
AxisOne Apartments,,,https://www.axisoneapts.com/,Stuart,FL,Apartment Turnover,websearch,2026-02-23,Medium No,"AxisOne Apartments - Elevate downtime at AxisOne Apartments. Admire scenery, enjoy meals sizzling on grills, keep body and mind in tune. Dive into glimmering pool, then relax on deck"
Better Business Bureau Commercial Kitchen Rental Fort Pierce,,,https://www.bbb.org/us/fl/fort-pierce/category/commercial-kitchen-rental,Fort Pierce,FL,Commercial Kitchen,websearch,2026-02-23,Medium No,"BBB - Commercial Kitchen Rental, Bathroom Remodel, Kitchen Remodel in Fort Pierce FL. General Contractor, Construction Services"
Restaurant Supply Store Port St Lucie,,,https://www.restaurantsupply.com/pages/florida-port-st-lucie-restaurant-supply-store,Port Saint Lucie,FL,Commercial Kitchen,websearch,2026-02-23,Medium No,"Restaurant Supply Store - Lucie FL can get swift delivery. Selection includes refrigeration, deep fryers, gas or electric ranges, griddles, broilers, mixers, warming stations, coolers, freezers, and ice cream machines"
Restaurant Equipment Port St Lucie,,,https://buyatpro.com/restaurant-equipment-port-lucie-florida-fl/,Port Saint Lucie,FL,Commercial Kitchen,websearch,2026-02-23,Medium No,"Restaurant Equipment - Port St Lucie FL is a destination which thrives on great restaurants. To stand out and offer best food, restaurateurs need to improve and choose right restaurant equipment for their kitchen. Investment is required for leasing or buying new equipment"
Port St Lucie Restaurant Supply — The Restaurant Warehouse,,,https://therestaurantwarehouse.com/pages/port-st-lucie-fl-restaurant-equipment,Port Saint Lucie,FL,Commercial Kitchen,websearch,2026-02-23,Medium No,"Port St Lucie Restaurant Supply - The Restaurant Warehouse. Find top-of-the-line kitchen appliances and essential supplies to run a successful restaurant in Port St. Lucie"
KaTom Restaurant Supply,,,https://www.katom.com/location/fl/port-st-lucie,Port Saint Lucie,FL,Commercial Kitchen,websearch,2026-02-23,Medium No,"KaTom Restaurant Supply - Serving satisfied customers in Port St Lucie FL with top-quality commercial kitchen supplies and equipment. Fast and free shipping on all of our products"
Anchor Restaurant Supply Inc,319 NW Peacock Blvd Ste 319,https://www.mapquest.com/us/florida/anchor-restaurant-supply-inc-536339085,Port Saint Lucie,FL,Commercial Kitchen,websearch,2026-02-23,Medium No,"Anchor Restaurant Supply Inc - Reputable establishment in Port St. Lucie FL that specializes in providing a wide range of commercial kitchen equipment and supplies to local businesses in the food service industry"
Moreno's Restaurant Equipment,,,https://www.morenosrestaurantequipment.com,Port Saint Lucie,FL,Commercial Kitchen,websearch,2026-02-23,Medium No,"Moreno's Restaurant Equipment - Always available for your restaurant supplies. We offer a variety of services as well as a large selection of restaurant equipment. Fast and free shipping on all of our products"
Moreno's Restaurant Equipment - 475 SW Thornhill Dr,https://www.yelp.com/biz/morenos-restaurant-equipment-port-saint-lucie-2,Port Saint Lucie,FL,Commercial Kitchen,websearch,2026-02-23,Medium No,"Moreno's Restaurant Equipment - Lucie Fla. We buy, sell and deliver new and used restaurant equipment. Customer satisfaction is top priority. 475 SW Thornhill Dr Port Saint Lucie FL. Phone: 772-336-2001"
Southern Coastal Property Maintenance LLC,,,https://scpmllc.com/service-areas/,Stuart,FL,Property Maintenance,websearch,2026-02-23,Medium No,"Southern Coastal Property Maintenance LLC - Specializes in sustainable landscaping, irrigation management, and tree care. Stuart and Hobe Sound to suburban communities of Palm City and Jensen Beach"
Coastal GM Pros,,,https://coastalmgmtpros.com/property-management-in-jensen-beach-fl/,Jensen Beach,FL,Property Maintenance,websearch,2026-02-23,Medium No,"Coastal GM Pros - Property management in Jensen Beach FL. Florida-focused lease terms and clear expectations around maintenance, pets, and HOA rules reduce friction later"
Jensen Beach Home Renovations Home & Beyond,,,https://www.homeandbeyondfl.com/jensen-beach,Jensen Beach,FL,Property Maintenance,websearch,2026-02-23,Medium No,"Jensen Beach Home Renovations - Service homes near downtown Jensen Beach, areas surrounding Jensen Beach Boulevard and properties close to causeway and Savannas Preserve"
New Landlord Hotline,,,https://www.homepropertymanagement.com/jensen-beach-property-management,Jensen Beach,FL,Property Maintenance,websearch,2026-02-23,Medium No,"New Landlord Hotline - 561-508-8111 Leasing Hotline 24/7 - 561-513-6679 Maintenance Hotline 24/7 - 561-693-2646 Front Desk 24/7 - Over 30 years experience managing 1000s of Palm Beach and Martin County rental homes"
Sun City,,,https://callsuncity.com/services/sun-city-services-jensen-beach-fl,Jensen Beach,FL,Property Maintenance,websearch,2026-02-23,Medium No,"Sun City - Roof cleaning, soft washing, power washing services by Call Sun City out of Jensen Beach Florida. Power washing services by Sun City"
Treasure Coast Property Services LLC,,,https://nextdoor.com/pages/treasure-coast-property-services-llc-stuart-fl,Jensen Beach,FL,Property Maintenance,websearch,2026-02-23,Medium No,"Treasure Coast Property Services LLC - 6 Faves from neighbors in Jensen Beach FL. Rick Phillips - over twenty years experience in real estate and property management & maintenance business. 772-777-4948"
RPM Sailfish Coast Jensen Beach,,,https://www.rpmsailfishcoast.com/areas-we-serve/jensen-beach,Jensen Beach,FL,Property Maintenance,websearch,2026-02-23,Medium No,"RPM Sailfish Coast - Jensen Beach FL. Real Property Management Sailfish Coast's residential property management services include: filling vacancies and screening tenants to collecting rent and maintenance"
Custom Property Upkeep,,,https://www.custompropertyupkeep.com/,Stuart,FL,Property Maintenance,websearch,2026-02-23,Medium No,"Custom Property Upkeep - Complete Property Upkeep. Specializes in Maintenance and Lifestyle Management for Residential Homes, Commercial Properties and Vacation Rentals throughout Palm Beach County, Martin County and St. Lucie County"
Florida Property Management Agency,,,https://www.mgtspec.com/,Stuart,FL,Property Maintenance,websearch,2026-02-23,Medium No,"Florida Property Management Agency - Lucie and Martin Counties. Our service areas include Port St. Lucie, Jensen Beach, Hobe Sound, Stuart, Palm City. Property management for Stuart FL. Service areas include Port St. Lucie, Jensen Beach, Hobe Sound, Stuart, Palm City, Palm Beach Gardens"
Keystone Property Management,,,https://www.kpmgcommunitycare.com/,Stuart,FL,Property Maintenance,websearch,2026-02-23,Medium No,"Keystone Property Management - Keystone Property Management Group's goal is to provide exceptionally high degree of personalized on-site service to condominiums, cooperatives, and homeowner associations located within Brevard, Martin, Indian River and St. Lucie Counties"
SFLPM Property Management LLC,,,https://sflpm.com/,Stuart,FL,Property Maintenance,websearch,2026-02-23,Medium No,"SFLPM Property Management - More than managers - your trusted real estate partners. Committed to your success and satisfaction every step of way. Dedicated to delivering exceptional service. 24 hour maintenance crew and seasoned professionals work tirelessly to ensure your properties not only meet but exceed expectations"
Luxury Estate and Home Property Management,,,https://ihemfl.com/,Stuart,FL,Property Maintenance,websearch,2026-02-23,Medium No,"Luxury Estate and Home Property Management - High-value homes, gated communities, vacation rentals in Palm Beach and Martin Counties. Making us preferred choice for luxury property care in Palm Beach and Martin Counties"
Martin Property Management,,,https://www.homeriver.com/florida/martin-property-management/,Stuart,FL,Property Maintenance,websearch,2026-02-23,Medium No,"Martin Property Management - Leading providers of professional Martin property management services. Help serious investors allocate time and resources. 24 hour maintenance crew and seasoned professionals. Tenant screening, lease execution, rent & debt collection. 24 Hour Maintenance Services included"
Landmark Realty Property Management Martin County,,,https://www.landmarkinvestmentsflorida.com/properties/property-management-martin-county-fl/,Stuart,FL,Property Maintenance,websearch,2026-02-23,Medium No,"Landmark Realty Property Management - Property management Martin County FL. 32 units. All tenants must pass background check prior to moving in. Property management Martin County FL services rendered: Tenant screening, lease execution, rent & debt collection. 24 Hour Maintenance Services"
